OID_,site_name,FREQUENCY,SUM_SHAPE_Length_1
1,Aspen Park,2,2478.687082447503599
2,Aurora East,1,
3,Boulder Reservoir,1,
4,Denver - Camp,1,
5,Evergreen,1,
6,Highland Reservoir,6,3251.268030950152479
7,La Casa,2,1231.818499370041536
8,National Renewable Energy Labs - Nrel,1,
9,Rocky Flats-N,3,2405.231232096666645
10,Welby,1,
11,Welch,2,2535.986242059877441
