,site_number,sample_measurement,sample_measurement,sample_measurement
,,daily_avg,daily_max,mda8
date_time,,,,
2018-04-08,0002,0.04635416666666667,0.058,0.055625
2018-04-09,0002,0.035291666666666666,0.049,0.044625000000000005
2018-04-10,0002,0.04120833333333333,0.059,0.053625
2018-04-11,0002,0.04195833333333333,0.057,0.053
2018-04-12,0002,0.0371875,0.055,0.049749999999999996
2018-04-13,0002,0.040875,0.056,0.051125
2018-04-14,0002,0.043875,0.056,0.05375
2018-04-15,0002,0.03660416666666667,0.058,0.05625
2018-04-16,0002,0.03191666666666667,0.061,0.050249999999999996
2018-04-17,0002,0.057375,0.082,0.069875
2018-04-18,0002,0.04504166666666667,0.06,0.05525
2018-04-19,0002,0.041933333333333336,0.056,0.05175
2018-04-20,0002,0.035425531914893615,0.049,0.048375
2018-04-21,0002,0.025232558139534882,0.04,0.036750000000000005
2018-04-22,0002,0.03256410256410257,0.068,0.056333333333333326
2018-04-23,0002,0.034854166666666665,0.066,0.05487500000000001
2018-04-24,0002,0.03435714285714286,0.044,0.038125
2018-04-25,0002,0.04059574468085106,0.061,0.057375
2018-04-26,0002,0.04697916666666666,0.065,0.060875
2018-04-27,0002,0.047375,0.073,0.067125
2018-04-28,0002,0.04614583333333333,0.066,0.061875
2018-04-29,0002,0.047875,0.058,0.052625
2018-04-30,0002,0.04420833333333333,0.07,0.062625
2018-05-01,0002,0.04332608695652174,0.062,0.05614285714285715
2018-05-02,0002,0.029869565217391307,0.042,0.041
2018-05-03,0002,0.036574468085106386,0.048,0.041874999999999996
2018-05-04,0002,0.04295833333333333,0.069,0.061000000000000006
2018-05-05,0002,0.04552083333333334,0.065,0.0625
2018-05-06,0002,0.049645833333333333,0.067,0.06275
2018-05-07,0002,0.04052083333333333,0.062,0.05375
2018-05-08,0002,0.04985106382978723,0.072,0.0665
2018-05-09,0002,0.044000000000000004,0.075,0.06771428571428571
2018-05-10,0002,0.04125,0.062,0.05725
2018-05-11,0002,0.035145833333333334,0.058,0.049875
2018-05-12,0002,0.01958333333333333,0.038,0.02575
2018-05-13,0002,0.0195625,0.036,0.030125000000000002
2018-05-14,0002,0.035333333333333335,0.06,0.0525
2018-05-15,0002,0.04066666666666666,0.063,0.059625
2018-05-16,0002,0.043854166666666666,0.063,0.059750000000000004
2018-05-17,0002,0.047375,0.077,0.069
2018-05-18,0002,0.042555555555555555,0.059,0.051000000000000004
2018-05-19,0002,0.03995833333333333,0.051,0.046
2018-05-20,0002,0.03304166666666667,0.042,0.040875
2018-05-21,0002,0.03779166666666667,0.065,0.05825
2018-05-22,0002,0.044704545454545455,0.073,0.06983333333333333
2018-05-23,0002,0.04489583333333333,0.066,0.05975
2018-05-24,0002,0.0500625,0.072,0.069125
2018-05-25,0002,0.053062500000000005,0.073,0.06962499999999999
2018-05-26,0002,0.04895833333333333,0.076,0.065875
2018-05-27,0002,0.045250000000000005,0.063,0.05775
2018-05-28,0002,0.04816666666666666,0.06,0.0555
2018-05-29,0002,0.04689130434782609,0.072,0.061875
2018-05-30,0002,0.049125,0.066,0.063875
2018-05-31,0002,0.048239130434782604,0.061,0.057375
2018-06-01,0002,0.04664583333333333,0.063,0.059875
2018-06-02,0002,0.05297916666666667,0.064,0.063125
2018-06-03,0002,0.04666666666666667,0.074,0.064625
2018-06-04,0002,0.04466666666666667,0.068,0.058125
2018-06-05,0002,0.05069565217391304,0.064,0.06183333333333333
2018-06-06,0002,0.0536875,0.089,0.07625
2018-06-07,0002,0.0446875,0.06,0.05275
2018-06-08,0002,0.042791666666666665,0.062,0.056125
2018-06-09,0002,0.046875,0.077,0.065
2018-06-10,0002,0.042166666666666665,0.065,0.057125
2018-06-11,0002,0.04345833333333333,0.056,0.05375
2018-06-12,0002,0.04572916666666666,0.068,0.063875
2018-06-13,0002,0.04554166666666667,0.075,0.06575
2018-06-14,0002,0.0304,0.045,0.04057142857142858
2018-06-15,0002,0.03679166666666667,0.057,
2018-06-16,0002,0.0444375,0.073,0.064
2018-06-17,0002,0.028458333333333335,0.05,0.042125
2018-06-18,0002,0.031093023255813954,0.062,0.053375
2018-06-19,0002,0.03735,0.053,0.04883333333333333
2018-06-20,0002,0.04135416666666667,0.07,0.06375
2018-06-21,0002,0.0425,0.077,0.065875
2018-06-22,0002,0.03897916666666667,0.066,0.054
2018-06-23,0002,0.04789583333333333,0.072,0.068375
2018-06-24,0002,0.04885416666666667,0.061,0.058249999999999996
2018-06-25,0002,0.047319148936170216,0.075,0.07062500000000001
2018-06-26,0002,0.05102083333333333,0.078,0.070625
2018-06-27,0002,0.0436875,0.064,0.0605
2018-06-28,0002,0.042,0.058,0.05225
2018-06-29,0002,0.04754166666666667,0.068,0.0635
2018-06-30,0002,0.042333333333333334,0.058,0.053125
2018-07-01,0002,0.04558333333333334,0.067,0.065625
2018-07-02,0002,0.049229166666666664,0.068,0.063125
2018-07-03,0002,0.042520833333333334,0.06,0.05675
2018-07-04,0002,0.0474375,0.086,0.07712499999999999
2018-07-05,0002,0.04591666666666666,0.069,0.053625
2018-07-06,0002,0.05808695652173913,0.108,0.090625
2018-07-07,0002,0.05121276595744681,0.075,0.07112500000000001
2018-07-08,0002,0.049520833333333326,0.077,0.0665
2018-07-09,0002,0.04914583333333333,0.073,0.065875
2018-07-10,0002,0.05452083333333333,0.085,0.07750000000000001
2018-07-11,0002,0.05127083333333333,0.076,0.06899999999999999
2018-07-12,0002,0.052645833333333336,0.084,0.069625
2018-07-13,0002,0.051854166666666666,0.076,0.07012499999999999
2018-07-14,0002,0.059395833333333335,0.092,0.07925
2018-07-15,0002,0.036229166666666666,0.063,0.058875
2018-07-16,0002,0.04564583333333333,0.087,0.0815
2018-07-17,0002,0.05260869565217391,0.085,0.08
2018-07-18,0002,0.05341304347826087,0.085,0.078875
2018-07-19,0002,0.05082608695652174,0.076,0.07200000000000001
2018-07-20,0002,0.046680851063829784,0.073,0.064125
2018-07-21,0002,0.050625,0.081,0.075625
2018-07-22,0002,0.0500625,0.076,0.070125
2018-07-23,0002,0.034145833333333334,0.062,0.0455
2018-07-24,0002,0.04133333333333333,0.075,0.070375
2018-07-25,0002,0.046000000000000006,0.07,0.0625
2018-07-26,0002,0.04472916666666666,0.07,0.062625
2018-07-27,0002,0.04061702127659574,0.073,0.061375
2018-07-28,0002,0.04041666666666666,0.065,0.060625
2018-07-29,0002,0.041541666666666664,0.075,0.06662499999999999
2018-07-30,0002,0.049249999999999995,0.071,0.065375
2018-07-31,0002,0.049630434782608694,0.077,0.071625
2018-08-01,0002,0.048297872340425534,0.068,0.063625
2018-08-02,0002,0.05633333333333334,0.083,0.07675
2018-08-03,0002,0.04952083333333334,0.073,0.06125
2018-08-04,0002,0.04852083333333334,0.06,0.057749999999999996
2018-08-05,0002,0.04066666666666666,0.065,0.0585
2018-08-06,0002,0.042624999999999996,0.064,0.057749999999999996
2018-08-07,0002,0.042291666666666665,0.065,0.061625
2018-08-08,0002,0.04530434782608696,0.073,0.06875
2018-08-09,0002,0.05027083333333333,0.075,0.06687499999999999
2018-08-10,0002,0.051145833333333335,0.068,0.06525
2018-08-11,0002,0.051833333333333335,0.067,0.063375
2018-08-12,0002,0.051,0.065,0.060000000000000005
2018-08-13,0002,0.04902127659574468,0.086,0.077375
2018-08-14,0002,0.044020833333333335,0.076,0.07025
2018-08-15,0002,0.04722916666666666,0.074,0.07062500000000001
2018-08-16,0002,0.04616666666666667,0.074,0.069625
2018-08-17,0002,0.04654166666666667,0.08,0.072
2018-08-18,0002,0.04077083333333333,0.059,0.05475
2018-08-19,0002,0.044000000000000004,0.063,0.056
2018-08-20,0002,0.041375,0.072,0.0665
2018-08-21,0002,0.032979166666666664,0.049,0.040875
2018-08-22,0002,0.035541666666666666,0.063,0.058375
2018-08-23,0002,0.040854166666666664,0.061,0.0555
2018-08-24,0002,0.04839583333333333,0.073,0.0705
2018-08-25,0002,0.0473125,0.068,0.064625
2018-08-26,0002,0.04347916666666667,0.057,0.0535
2018-08-27,0002,0.040682926829268294,0.052,0.050166666666666665
2018-08-28,0002,0.033729166666666664,0.056,0.049999999999999996
2018-08-29,0002,0.036333333333333336,0.059,0.056
2018-08-30,0002,0.031914893617021274,0.051,0.046571428571428576
2018-08-31,0002,0.029937500000000002,0.047,0.0395
2018-09-01,0002,0.035166666666666666,0.062,0.0515
2018-09-02,0002,0.03985416666666667,0.071,0.067625
2018-09-03,0002,0.0418125,0.058,0.056
2018-09-04,0002,0.044145833333333336,0.073,0.066875
2018-09-05,0002,0.034895833333333334,0.058,0.043000000000000003
2018-09-06,0002,0.029276595744680854,0.057,0.046875
2018-09-07,0002,0.0325625,0.06,0.052125000000000005
2018-09-08,0002,0.042020833333333334,0.067,0.062125
2018-09-09,0002,0.03920833333333334,0.061,0.056
2018-09-10,0002,0.03789583333333333,0.053,0.050625
2018-09-11,0002,0.03395555555555556,0.049,0.04525
2018-09-12,0002,0.0339375,0.051,0.047375
2018-09-13,0002,0.031208333333333334,0.049,0.044375000000000005
2018-09-14,0002,0.02754166666666667,0.048,0.0455
2018-09-15,0002,0.035729166666666666,0.059,0.05525
2018-09-16,0002,0.03814583333333333,0.052,0.051000000000000004
2018-09-17,0002,0.03222916666666666,0.051,0.0475
2018-09-18,0002,0.03367391304347826,0.06,0.052875000000000005
2018-09-19,0002,0.03080851063829787,0.054,0.048624999999999995
2018-09-20,0002,0.03370833333333333,0.063,0.055375
2018-09-21,0002,0.037208333333333336,0.057,0.05375
2018-09-22,0002,0.035770833333333335,0.058,0.05575
2018-09-23,0002,0.041479166666666664,0.056,0.05475
2018-09-24,0002,0.035041666666666665,0.048,0.044625000000000005
2018-09-25,0002,0.03745833333333334,0.055,0.050875
2018-09-26,0002,0.030568181818181817,0.057,0.048857142857142856
2018-09-27,0002,0.036166666666666666,0.059,0.05325
2018-09-28,0002,0.020666666666666667,0.036,0.029500000000000002
2018-09-29,0002,0.01966666666666667,0.046,0.041125
2018-09-30,0002,0.015458333333333333,0.037,0.02875
2018-10-01,0002,0.004958333333333333,0.019,0.013
2018-10-02,0002,0.0146875,0.031,0.027375
2018-10-03,0002,0.021437499999999998,0.038,0.033625
2018-10-04,0002,0.02291666666666667,0.042,0.036
2018-10-05,0002,0.0233125,0.046,0.03725
2018-10-06,0002,0.02625,0.043,0.0345
