,mda8,site_name,date,lat,long,ndvi,elev,dist2road,road_length,tmax,rhmax,pmax,apr_dummy,may_dummy,jun_dummy,jul_dummy,aug_dummy,sep_dummy,oct_dummy,yr_2018_dummy,yr_2019_dummy,yr_2020_dummy,yr_2021_dummy,yr_2022_dummy
28,54.47063333,Highland Reservoir,Jul.2018,4379799.569,503676.9207,0.08371748,1746.35,280.62,3251.268031,304.2794245,71.10812369,2.159775293,0,0,0,1,0,0,0,1,0,0,0,0
29,46.81103226,La Casa,Jul.2018,4403283.245,499556.4178,0.179630801,1609.04,413,1231.818499,305.811499,70.38126662,1.481526282,0,0,0,1,0,0,0,1,0,0,0,0
30,51.955875,National Renewable Energy Labs - Nrel,Jul.2018,4399328.864,484750.2631,0.130036756,1766.56,1430.77,0,303.0885034,71.18255204,1.482437672,0,0,0,1,0,0,0,1,0,0,0,0
31,56.92035484,Rocky Flats-N,Jul.2018,4418095.854,483881.8071,0.152818725,1728.49,68.83,2405.231232,303.8219857,67.12737555,1.443345394,0,0,0,1,0,0,0,1,0,0,0,0
32,43.90329032,Welby,Jul.2018,4409791.466,504291.7362,0.133760914,1592.47,818.31,0,305.7199133,71.45416184,2.369051271,0,0,0,1,0,0,0,1,0,0,0,0
33,49.24112903,Aurora East,Aug.2018,4387726.552,536954.6079,0.114746414,1793.14,11202.39,0,302.0506912,75.0435867,1.503305231,0,0,0,0,1,0,0,1,0,0,0,0
34,50.07590323,Boulder Reservoir,Aug.2018,4435551.592,481219.7574,0.134466395,1593.88,544.8,0,302.9238745,74.01929825,0.636107177,0,0,0,0,1,0,0,1,0,0,0,0
35,43.549,Denver - Camp,Aug.2018,4400141.744,501060.1503,0.073556721,1609.04,1174.89,0,303.4766781,73.5692442,0.631687977,0,0,0,0,1,0,0,1,0,0,0,0
36,49.63754839,Highland Reservoir,Aug.2018,4379799.569,503676.9207,0.08371748,1746.35,280.62,3251.268031,302.0756042,72.8134637,1.264082365,0,0,0,0,1,0,0,1,0,0,0,0
37,44.35142308,La Casa,Aug.2018,4403283.245,499556.4178,0.179630801,1609.04,413,1231.818499,303.4766781,73.5692442,0.631687977,0,0,0,0,1,0,0,1,0,0,0,0
38,54.89062069,National Renewable Energy Labs - Nrel,Aug.2018,4399328.864,484750.2631,0.130036756,1766.56,1430.77,0,301.3413334,71.80503033,0.683928311,0,0,0,0,1,0,0,1,0,0,0,0
